class,precision,recall,f1
0,0.6,0.75,0.6666666666666665
1,0.0,0.0,0.0
2,0.6,0.75,0.6666666666666665
3,0.5,0.3333333333333333,0.4
4,0.3333333333333333,0.5,0.4
5,0.25,0.5,0.3333333333333333
6,0.5,0.25,0.3333333333333333
7,1.0,0.3333333333333333,0.5
8,1.0,0.3333333333333333,0.5
9,0.6,0.75,0.6666666666666665
10,0.0,0.0,0.0
11,1.0,0.75,0.8571428571428571
12,0.0,0.0,0.0
13,0.42857142857142855,0.75,0.5454545454545454
14,0.3333333333333333,0.6666666666666666,0.4444444444444444
15,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,0.0,0.0,0.0
17,0.6666666666666666,0.5,0.5714285714285715
18,1.0,0.6666666666666666,0.8
19,0.25,0.5,0.3333333333333333
20,0.5,1.0,0.6666666666666666
21,0.5,0.6666666666666666,0.5714285714285715
22,0.0,0.0,0.0
23,0.5,0.5,0.5
24,0.4,0.6666666666666666,0.5
25,0.0,0.0,0.0

accuracy,f1_macro,f1_weight
0.4625,0.4073038073038073,0.4313798701298701
