instance,predicted_class
1,9
2,6
3,8
4,5
5,9
6,1
7,1
8,3
9,8
10,9
11,2
12,1
13,3
14,9
15,0
16,1
17,9
18,9
19,7
20,1
21,6
22,1
23,9
24,7
25,9
26,8
27,1
28,1
29,8
30,8
31,9
32,8
33,8
34,9
35,0
36,1
37,5
38,9
39,1
40,1
41,1
42,7
43,0
44,8
45,9
46,9
47,1
48,6
49,5
50,1
51,8
52,0
53,5
54,9
55,0
56,1
57,8
58,5
59,9
60,1
61,1
62,5
63,0
64,0
65,9
66,0
67,1
68,4
69,0
70,9
71,1
72,1
73,1
74,9
75,4
76,8
77,4
78,1
79,9
80,9
81,7
82,3
83,0
84,5
85,0
86,6
87,8
88,9
89,7
90,6
91,8
92,9
93,1
94,1
95,9
96,1
97,9
98,9
99,0
100,0
101,5
102,8
103,8
104,2
105,9
106,5
107,8
108,5
109,4
110,9
111,1
112,9
113,5
114,5
115,8
116,9
117,8
118,1
119,8
120,9
121,1
122,5
123,5
124,9
125,1
126,1
127,2
128,9
129,9
130,9
131,1
132,1
133,8
134,1
135,9
136,1
137,4
138,9
139,4
140,8
141,5
142,0
143,1
144,4
145,4
146,4
147,9
148,9
149,9
150,1
151,1
152,5
153,9
154,1
155,5
156,0
157,1
158,5
159,5
160,3
161,1
162,8
163,0
164,1
165,1
166,1
167,1
168,1
169,9
170,4
171,5
172,9
173,9
174,0
175,4
176,1
177,1
178,4
179,8
180,5
181,4
182,1
183,9
184,9
185,9
186,1
187,9
188,5
189,9
190,3
191,1
192,9
193,1
194,2
195,9
196,7
197,9
198,1
199,9
200,9
201,9
202,0
203,9
204,0
205,9
206,8
207,8
208,5
209,5
210,4
211,4
212,4
213,0
214,0
215,9
216,0
217,8
218,1
219,3
220,9
221,8
222,1
223,9
224,5
225,4
226,3
227,0
228,5
229,4
230,1
231,9
232,1
233,4
234,9
235,1
236,2
237,5
238,9
239,2
240,1
241,2
242,0
243,9
244,9
245,1
246,1
247,9
248,0
249,5
250,8
251,8
252,1
253,1
254,1
255,5
256,0
257,9
258,4
259,1
260,1
261,4
262,1
263,1
264,1
265,4
266,4
267,9
268,2
269,7
270,9
271,5
272,4
273,5
274,1
275,7
276,0
277,5
278,0
279,9
280,9
281,0
282,9
283,4
284,6
285,3
286,9
287,0
288,1
289,5
290,1
291,3
292,9
293,8
294,8
295,1
296,9
297,1
298,0
299,8
300,9
301,1
302,5
303,9
304,5
305,1
306,1
307,1
308,7
309,8
310,1
311,5
312,9
313,1
314,4
315,1
316,8
317,5
318,9
319,9
320,7
321,9
322,6
323,9
324,9
325,9
326,9
327,5
328,0
329,1
330,5
331,5
332,1
333,4
334,4
335,1
336,5
337,7
338,1
339,9
340,4
341,8
342,7
343,5
344,8
345,0
346,4
347,5
348,9
349,9
350,5
351,5
352,1
353,1
354,8
355,1
356,9
357,4
358,1
359,0
360,3
361,3
362,4
363,2
364,5
365,9
366,9
367,0
368,1
369,1
370,3
371,9
372,5
373,1
374,5
375,1
376,9
377,1
378,9
379,8
380,9
381,1
382,9
383,1
384,1
385,1
386,9
387,4
388,4
389,9
390,9
391,4
392,9
393,0
394,1
395,9
396,1
397,2
398,8
399,5
400,1
401,1
402,9
403,4
404,9
405,8
406,7
407,8
408,9
409,8
410,2
411,5
412,6
413,1
414,0
415,1
416,1
417,9
418,1
419,4
420,9
421,4
422,9
423,4
424,9
425,8
426,0
427,9
428,5
429,6
430,8
431,5
432,0
433,1
434,9
435,9
436,1
437,1
438,9
439,5
440,5
441,1
442,0
443,0
444,1
445,0
446,5
447,8
448,8
449,4
450,9
451,9
452,9
453,1
454,9
455,8
456,0
457,1
458,0
459,1
460,9
461,1
462,8
463,8
464,9
465,8
466,4
467,1
468,8
469,7
470,8
471,0
472,8
473,2
474,9
475,3
476,5
477,5
478,0
479,8
480,0
481,6
482,0
483,1
484,8
485,9
486,4
487,9
488,8
489,9
490,0
491,1
492,5
493,4
494,1
495,8
496,0
497,3
498,0
499,9
500,1
501,9
502,0
503,5
504,4
505,9
506,0
507,2
508,1
509,5
510,8
511,9
512,1
513,1
514,9
515,4
516,0
517,1
518,9
519,6
520,5
