class,precision,recall,f1
0,0.8360655737704918,0.9272727272727272,0.8793103448275862
1,0.968,0.968,0.968
2,0.7272727272727273,0.5333333333333333,0.6153846153846153
3,0.8666666666666667,0.8666666666666667,0.8666666666666667
4,0.7872340425531915,0.74,0.7628865979381443
5,0.85,0.9272727272727272,0.8869565217391303
6,1.0,0.6666666666666666,0.8
7,1.0,1.0,1.0
8,0.8103448275862069,0.94,0.8703703703703703
9,0.8983050847457628,0.848,0.8724279835390946

accuracy,f1_macro,f1_weight
0.8826923076923077,0.8522003100465607,0.8809457562495214
