class,precision,recall,f1
0,0.7121212121212122,0.8545454545454545,0.7768595041322314
1,0.9090909090909091,0.88,0.8943089430894309
2,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,0.5384615384615384,0.4666666666666667,0.5
4,0.5777777777777777,0.52,0.5473684210526315
5,0.6617647058823529,0.8181818181818182,0.7317073170731708
6,0.8,0.5333333333333333,0.64
7,0.8571428571428571,0.8,0.8275862068965518
8,0.7321428571428571,0.82,0.7735849056603773
9,0.8214285714285714,0.736,0.7763713080168776

accuracy,f1_macro,f1_weight
0.7557692307692307,0.6801119939254605,0.7545532038340085
