class,precision,recall,f1
0,0.8571428571428571,0.8727272727272727,0.8648648648648648
1,0.9606299212598425,0.976,0.9682539682539683
2,0.75,0.6,0.6666666666666665
3,0.9285714285714286,0.8666666666666667,0.896551724137931
4,0.7906976744186046,0.68,0.7311827956989247
5,0.8360655737704918,0.9272727272727272,0.8793103448275862
6,1.0,0.7333333333333333,0.846153846153846
7,1.0,1.0,1.0
8,0.7230769230769231,0.94,0.8173913043478259
9,0.8879310344827587,0.824,0.8547717842323651

accuracy,f1_macro,f1_weight
0.8711538461538462,0.8525147299183979,0.8699560464434436
