class,precision,recall,f1
0,0.5,0.5,0.5
1,0.3333333333333333,1.0,0.5
2,1.0,0.75,0.8571428571428571
3,0.6666666666666666,0.6666666666666666,0.6666666666666666
4,0.0,0.0,0.0
5,0.5,0.5,0.5
6,0.6666666666666666,0.5,0.5714285714285715
7,1.0,0.3333333333333333,0.5
8,1.0,1.0,1.0
9,1.0,0.5,0.6666666666666666
10,0.5,0.3333333333333333,0.4
11,1.0,0.75,0.8571428571428571
12,0.2857142857142857,0.6666666666666666,0.4
13,0.6,0.75,0.6666666666666665
14,1.0,1.0,1.0
15,1.0,0.6666666666666666,0.8
16,0.6,1.0,0.7499999999999999
17,0.5,0.75,0.6
18,1.0,0.6666666666666666,0.8
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,0.75,1.0,0.8571428571428571
23,1.0,0.5,0.6666666666666666
24,1.0,0.6666666666666666,0.8
25,0.6666666666666666,0.6666666666666666,0.6666666666666666

accuracy,f1_macro,f1_weight
0.6875,0.6804945054945055,0.6891369047619048
