class,precision,recall,f1
0,0.6,0.75,0.6666666666666665
1,1.0,1.0,1.0
2,1.0,0.75,0.8571428571428571
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,0.3333333333333333,0.5,0.4
6,1.0,0.75,0.8571428571428571
7,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,1.0,1.0,1.0
9,0.75,0.75,0.75
10,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,0.8,1.0,0.888888888888889
12,0.5,0.3333333333333333,0.4
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,0.75,1.0,0.8571428571428571
16,0.75,1.0,0.8571428571428571
17,0.42857142857142855,0.75,0.5454545454545454
18,1.0,0.6666666666666666,0.8
19,0.0,0.0,0.0
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,1.0,0.5,0.6666666666666666
24,1.0,1.0,1.0
25,1.0,0.3333333333333333,0.5

accuracy,f1_macro,f1_weight
0.775,0.7581890331890333,0.7704671717171717
